salary_rank,name,team,position,age,salary
388,A.J. Minter,ATL,RP,27,1300000
388,Jacob Stallings,PIT,C,31,1300000
394,Darin Ruf,SF,1B,34,1275000
395,Ryan Brasier,BOS,RP,33,1250000
395,Kendall Graveman,SEA,RP,30,1250000
395,Wade Davis,KC,RP,35,1250000
398,Freddy Peralta,MIL,RP,25,1234960
399,Erik Gonzalez,PIT,SS,29,1225000
400,Maikol Hernandez,BAL,SS,0,1200000
400,Fran Alduey,CLE,SS,0,1200000
400,Mike Mayers,LAA,RP,29,1200000
400,Samuel Zavala,SD,OF,0,1200000
400,Elias Diaz,COL,C,30,1200000
405,Yonny Chirinos,TB,SP,27,1175000
405,Angel Genao,CLE,SS,0,1175000
405,Abel Bastidas,DET,SS,0,1175000
405,Noe Ramirez,CIN,RP,31,1175000
409,Austin Slater,SF,LF,28,1150000
409,Matt Wisler,SF,RP,28,1150000
411,Alexander Claudio,LAA,RP,29,1125000
412,Felix Pena,LAA,RP,31,1100000
412,Jairo Diaz,COL,RP,30,1100000
412,Ryne Stanek,HOU,RP,29,1100000
412,Andrew Knapp,PHI,C,29,1100000
412,Fredy LaFlor,MIN,SS,0,1100000
412,Chris Stratton,PIT,RP,30,1100000
418,Luis Cessa,NYY,RP,29,1050000
418,Tony Kemp,OAK,2B,29,1050000
420,Danyer Cuevas,TEX,SS,0,1025000
420,Tommy Kahnle,LAD,RP,31,1025000
422,David Bote,CHC,2B,28,1010000
423,Yolmer Sanchez,BAL,2B,29,1000000
423,Robert Lopez,CLE,C,0,1000000
423,Guillermo Heredia,NYM,CF,30,1000000
423,Jose Martinez,NYM,1B,32,1000000
423,Daniel Montesino,SD,OF,0,1000000
423,Diego Velasquez,SF,SS,0,1000000
423,Matt Duffy,CHC,3B,30,1000000
423,Josh Harrison,WSH,2B,33,1000000
423,Ryan Zimmerman,WSH,1B,36,1000000
423,Gregory Barrios,MIL,SS,0,1000000
423,Daniel Guilarte,MIL,SS,0,1000000
423,Rickardo Perez,PHI,C,0,1000000
423,Jose Alvarado,PHI,RP,26,1000000
423,Josh Tomlin,ATL,RP,36,1000000
423,Michael Feliz,PIT,RP,28,1000000
438,Abraham Almonte,ATL,CF,32,990000
439,Phil Maton,CLE,RP,28,975000
440,Jose Cisnero,DET,RP,32,970000
441,Jarlin Garcia,SF,RP,28,950000
442,Wandy Peralta,SF,RP,29,925000
442,Adam Cimber,MIA,RP,30,925000
444,Lou Trivino,OAK,RP,29,912500
445,Daniel Winkler,CHC,RP,31,900000
445,Daniel Robertson,MIL,SS,27,900000
445,Alexander Reyes,STL,RP/CL,26,900000
445,Grant Dayton,ATL,RP,33,900000
449,Pat Valaika,BAL,SS,28,875000
449,Tom Murphy,SEA,C,30,875000
451,Austin Brice,BOS,RP,29,870000
452,Jace Fry,CHW,RP,27,862500
452,Jordan Hicks,STL,RP,24,862500
454,Enderso Lira,BOS,C,0,850000
454,Ronald Hernandez,MIA,C,0,850000
454,Ross Detwiler,MIA,RP,35,850000
454,David Hale,PHI,RP,33,850000
458,Shawn Armstrong,BAL,RP,30,825000
459,Jesus Galiz,LAD,C,0,812500
460,Robert Stephenson,COL,RP,28,805000
461,John Brebbia,SF,RP,31,800000
461,Kyle Ryan,CHC,RP,29,800000
461,Keynan Middleton,SEA,RP,27,800000
461,Franchy Cordero,KC,LF,26,800000
461,Kyle Crick,PIT,RP,28,800000
466,Jacob Barnes,NYM,RP,31,750000
466,Brayan Rijo,CIN,OF,0,750000
468,Hendry Mendez,MIL,OF,0,735000
469,Seranthony Dominguez,PHI,RP,26,727500
470,Burch Smith,OAK,RP,31,705000
471,Jimmy Herget,TEX,RP,27,700000
471,Trevor Gott,SF,RP,28,700000
473,Reyes Moronta,SF,RP/CL,28,695000
474,Leonardo Bernal,STL,C,17,680000
474,Luis Reyes,CIN,3B,0,680000
476,Brian O'Grady,SD,LF,29,650000
476,Caleb Thielbar,MIN,RP,34,650000
478,Kyle Farmer,CIN,C,30,640000
479,Austin Pruitt,HOU,RP,31,617500
480,Yeferson Tineo,TEX,SS,0,600000
480,Rayner Castillo,DET,SS,0,600000
480,Kevin Guerrero,MIA,OF,0,600000
483,Ramon Peralta,SF,SS,0,597500
484,Elias Reynoso,STL,SS,17,575000
485,Carlos Pelegrin,DET,OF,0,550000
486,Luis Ravelo,BOS,SS,0,545000
487,Brian Guzman,SF,SS,0,537500
488,Richard Polanco,CLE,SS,0,530000
489,Luis Garcia,TOR,SS,0,520000
490,Yefri Rivera,CLE,SS,0,500000
490,Yohairo Cuevas,NYM,OF,0,500000
490,Jordy Vargas,COL,P,0,500000
490,Rafael Cruz,MIN,SS,0,500000
494,Rayne Doncon,LAD,SS,0,497500
495,Carlos Jorge,CIN,SS,0,495000
496,Mauricio Pierre,SF,OF,0,490000
497,Ahbram Liendo,BOS,SS,0,450000
497,Jedixon Paez,BOS,P,0,450000
497,Edward Duran,MIA,C,0,450000
497,Gustavo Rivas,WSH,P,0,450000
497,Jose Serrano,CIN,SS,0,450000
497,John Zorilla,PIT,SS,0,450000
503,Diego Guzman,KC,SS,0,447500
504,Samuel Rodriguez,SF,SS,0,442500
505,Luis Ariza,TB,SS,0,430000
506,Wilmer Feliciano,BAL,OF,0,400000
506,Diego Mosquera,NYM,SS,0,400000
506,Elian Nunez,NYM,P,0,400000
506,Julio Pinto,TEX,P,0,400000
506,Jonathan Peguero,TOR,C,0,400000
506,Reynaldo Madrigal,MIN,OF,0,400000
512,Marco Soto,PHI,SS,0,375000
513,Bradgley Rodriguez,SD,P,0,370000
514,Victor Celedonio,BAL,SS,0,360000
514,Yhoangel Aponte,TOR,OF,0,360000
514,Ney Serrano,MIL,SS,0,360000
514,Luis Rodriguez,MIN,SS,0,360000
518,Jose Garces,PIT,P,0,350000
518,Rubel Lebron,PIT,SS,0,350000
518,Eruviel Castillo,BAL,SS,0,350000
518,Teudis Cortorreal,BAL,OF,0,350000
518,Anderson De Los Santos,BAL,SS,0,350000
518,Leonardo Rondon,PHI,SS,0,350000
518,Carlos Carmona,STL,OF,16,350000
525,Samuel Camacaro,NYM,SS,0,330000
526,Yeuni Munoz,TOR,OF,0,315000
527,Yasmil Bucce,BAL,C,0,300000
527,Gustavo Marquez,NYM,OF,0,300000
527,Lenerd Ramos,NYM,P,0,300000
527,Alvaro Mejias,BOS,P,0,300000
527,Jose Colina,COL,SS,0,300000
527,Luis Paredes,COL,OF,0,300000
527,Yimmy Diaz,DET,SS,0,300000
527,Rich Del Rosario,HOU,OF,0,300000
527,Raylin Heredia,PHI,OF,0,300000
527,Christian Avendano,STL,OF,17,300000
527,Samil De La Rosa,STL,3B,17,300000
527,Andres Centeno,MIN,OF,0,300000
539,Doimil Perez,WSH,P,0,200000
539,Emmanuel Ramirez,WSH,OF,0,200000
539,Genderson Zapata,WSH,P,0,200000
542,Gabriel Agostini,WSH,P,0,170000
543,Jean Estrada,WSH,OF,0,90000
544,Cristian Batista,WSH,OF,0,75000
545,Winder Diaz,WSH,SS,0,20000
546,Edward De La Cruz,WSH,C,0,10000
546,Jeffem Leon,WSH,P,0,10000
